,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance
775,Volkl,Volkl Catapult V10 V-Engine,102,27.0,11.8,6pts HL,334,28.0,0,67,16 Mains/19 Crosses,Head Light,6
776,Volkl,Volkl Power Bridge 3,110,27.8,10.2,1pts HL,339,27.0,2,68,16 Mains/19 Crosses,Head Light,1
777,Volkl,Volkl Power Bridge V1 Midplus,102,27.0,10.5,2pts HL,310,25.0,1,68,16 Mains/19 Crosses,Head Light,2
778,Volkl,Volkl Power Bridge V1 Oversize,110,27.6,10.5,3pts HL,320,26.0,1,68,16 Mains/19 Crosses,Head Light,3
779,Volkl,Volkl Quantum Scorcher,102,27.0,10.0,6pts HL,285,25.0,0,61,16 Mains/19 Crosses,Head Light,6
780,Volkl,Volkl Power Bridge 10 Mid,93,27.0,12.1,10pts HL,320,19.0,0,59,16 Mains/19 Crosses,Head Light,1
781,Volkl,Volkl C10 Pro,98,27.0,12.2,8pts HL,323,20.0,0,63,16 Mains/19 Crosses,Head Light,8
782,Volkl,Volkl Power Bridge 2,115,27.6,10.0,2pts HH,325,28.0,2,70,16 Mains/19 Crosses,Head Heavy,2
783,Volkl,Volkl Power Bridge 9,98,27.0,11.3,6pts HL,306,21.0,0,66,16 Mains/19 Crosses,Head Light,6
784,Volkl,Volkl Power Bridge 5,102,27.0,10.6,4pts HL,302,25.0,1,65,16 Mains/19 Crosses,Head Light,4
785,Volkl,Volkl Tour Scorcher,100,27.0,9.9,2pts HH,293,23.0,1,60,16 Mains/18 Crosses,Head Heavy,2
786,Volkl,Volkl Power Bridge 8 315,100,27.0,11.4,8pts HL,302,24.0,0,70,16 Mains/18 Crosses,Head Light,8
787,Volkl,Volkl Power Bridge 7,107,27.3,10.5,1pts HL,309,23.0,1,67,16 Mains/19 Crosses,Head Light,1
788,Volkl,Volkl Power Bridge 9 Junior 26,102,26.0,9.5,3pts HH,240,24.0,1,58,16 Mains/19 Crosses,Head Heavy,3
789,Volkl,Volkl Organix 8 (300g) - 2011,100,27.0,11.4,4pts HL,330,23.5,1,68,16 Mains/18 Crosses,Head Light,4
790,Volkl,Volkl Organix 6 - 2011,100,27.0,10.22,0pts EB,306,24.0,2,65,16 Mains/18 Crosses,Head Heavy,0
791,Volkl,Volkl Organix 4 - 2011,105,27.6,10.2,5pts HL,306,25.0,1,65,16 Mains/19 Crosses,Head Light,5
792,Volkl,Volkl Organix 10 325g - 2011,98,27.0,12.1,7pts HL,317,20.0,0,64,16 Mains/19 Crosses,Head Light,7
