Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern
Wilson,Wilson n2,121,27.50,9.30,6pts HH,320,0.0,High,67,16 Mains/20 Crosses
Wilson,Wilson Prostaff 6.0 Original 95,95,27.00,12.20,10pts HL,317,20.0,Low,67,16 Mains/18 Crosses
Wilson,Wilson nFury Oversize,110,27.50,9.60,0pts EB,303,26.0,Medium,67,16 Mains/19 Crosses
Wilson,Wilson KOne,122,27.50,9.30,12pts HH,328,27.0,High,72,16 Mains/19 Crosses
Wilson,Wilson Prostaff 6.0 Original 85,85,27.00,12.60,8pts HL,329,17.0,Low,66,16 Mains/18 Crosses
Wilson,Wilson nFury Two Oversize,110,27.50,9.60,0pts EB,295,26.0,Medium,66,16 Mains/19 Crosses
Wilson,Wilson 6.1 Prostaff Classic,95,27.00,12.60,11pts HL,326,0.0,Low,72,16 Mains/18 Crosses
Wilson,Wilson Pro Staff Trance Oversize,110,27.00,9.80,1pts HH,297,30.0,Medium,72,16 Mains/20 Crosses
Wilson,Wilson Hyper Hammer 5.3 Stretch Oversize,110,27.50,9.00,8pts HH,301,25.0,Medium,70,16 Mains/20 Crosses
Wilson,Wilson KZero,118,27.50,9.10,4pts HH,298,0.0,High,70,16 Mains/19 Crosses
Wilson,Wilson H1 Outer Edge,135,28.50,9.00,9pts HH,293,0.0,High,73,18 Mains/21 Crosses
Wilson,Wilson Hammer 25 Junior,100,25.00,8.80,1pts HH,0,0.0,,0,16 Mains/19 Crosses
Wilson,Wilson 2.0 Hyper Sledgehammer 115,115,28.00,8.30,11pts HH,309,0.0,High,73,16 Mains/19 Crosses
Wilson,Wilson 2.0 Hyper Sledgehammer 115 SMU,115,28.00,9.50,7pts HH,335,0.0,High,75,16 Mains/19 Crosses
Wilson,Wilson 2.0 Hyper Sledgehammer 125,125,28.00,8.90,10pts HH,317,0.0,High,78,16 Mains/20 Crosses
Wilson,Wilson 2.8 Sledge Stretch,116,28.50,9.60,12pts HH,387,0.0,High,79,16 Mains/19 Crosses
Wilson,Wilson 3.0 Hammer Titanium Stretch,118,28.00,9.20,8pts HH,336,0.0,High,75,16 Mains/20 Crosses
Wilson,Wilson 3.2 Hammer PH Super Oversize,118,27.00,8.60,8pts HH,283,30.0,Medium-High,66,18 Mains/19 Crosses
Wilson,Wilson 3.4 Sledge Hammer The Limits,135,29.00,10.00,8pts HH,385,0.0,High,71,18 Mains/21 Crosses
Wilson,Wilson 3.8 Power Holes Oversize,112,28.00,9.00,12pts HH,356,30.0,High,76,18 Mains/19 Crosses
Wilson,Wilson 3.8 Power Holes Stretch Oversize,112,28.00,9.50,9pts HH,364,0.0,,77,0 Mains/0 Crosses
Wilson,Wilson 4.4 Hammer Titanium Stretch Midplus,95,27.50,9.90,5pts HH,330,0.0,Medium,78,16 Mains/19 Crosses
