,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance,new_old
839,Wilson,Wilson Pro Staff 97L v13 - 2020,97,27,10.8,3pts HL,311,23.5,0,69,16 Mains/19 Crosses,Head Light,3,Modern
840,Wilson,Wilson Clash 100 Pro - 2019,100,27,11.5,9pts HL,322,24.5,0,55,16 Mains/19 Crosses,Head Light,9,Modern
841,Wilson,Wilson Clash 100 - 2019,100,27,11,7pts HL,312,24.5,0,55,16 Mains/19 Crosses,Head Light,7,Modern
842,Wilson,Wilson Clash 98 - 2019,98,27,11.5,9pts HL,326,24,0,55,16 Mains/19 Crosses,Head Light,9,Modern
843,Wilson,Wilson Clash 100L - 2019,100,27,10.3,6pts HL,300,24.5,0,54,16 Mains/19 Crosses,Head Light,6,Modern
844,Wilson,Wilson Blade 98 (16x19) v7 - 2019,98,27,11.4,4pts HL,328,21,0,62,16 Mains/19 Crosses,Head Light,4,Modern
845,Wilson,Wilson Clash 100UL - 2019,100,27,9.9,1pts HL,299,24.5,0,60,16 Mains/19 Crosses,Head Light,1,Modern
846,Wilson,Wilson Ultra 100 v3 - 2020,100,27,11.2,4pts HL,312,26,0,73,16 Mains/19 Crosses,Head Light,4,Modern
847,Wilson,Wilson Ultra 100L v3 - 2020,100,27,10.4,4pts HL,296,26,0,68,16 Mains/19 Crosses,Head Light,4,Modern
848,Wilson,Wilson Ultra 108 v3 - 2020,108,27.25,10,1pts HL,306,27.5,1,69,16 Mains/18 Crosses,Head Light,1,Modern
849,Wilson,Wilson Ultra 100UL v3 - 2020,100,27,9.6,3pts HL,291,26,0,68,16 Mains/19 Crosses,Head Light,3,Modern
850,Wilson,Wilson Pro Staff RF97 v13 - 2020,97,27,12.6,9pts HL,333,21.5,0,68,16 Mains/19 Crosses,Head Light,9,Modern
851,Wilson,Wilson Pro Staff 97 v13 - 2020,97,27,11.7,7pts HL,321,21.5,0,66,16 Mains/19 Crosses,Head Light,7,Modern
852,Wilson,Wilson Blade SW102 Autograph - 2020,102,28,11.4,7pts HL,349,22.5,0,69,18 Mains/19 Crosses,Head Light,7,Modern
853,Wilson,Wilson Pro Staff 97UL v13 - 2020,97,27,10,4pts HL,296,23.5,0,66,16 Mains/19 Crosses,Head Light,4,Modern
854,Wilson,Wilson Burn 100 v4 - 2020,100,27,11.2,3pts HL,328,25,0,71,16 Mains/19 Crosses,Head Light,3,Modern
855,Wilson,Wilson Burn 100ULS v4 - 2020,100,27,9.7,1pts HL,304,25,0,67,18 Mains/16 Crosses,Head Light,1,Modern
856,Wilson,Wilson Burn 100LS V4 - 2020,100,27,10.5,3pts HL,314,25,0,71,18 Mains/16 Crosses,Head Light,3,Modern
857,Wilson,Wilson Burn 100S v4 - 2020,100,27,11.2,3pts HL,326,25,0,72,18 Mains/16 Crosses,Head Light,3,Modern
860,Wilson,Wilson Blade 98 (16x19) v6 - 2021,98,27,11.3,3pts HL,327,21,0,67,16 Mains/19 Crosses,Head Light,3,Modern
861,Wilson,Wilson Ultra 100 v2 - 2021,100,27,11.2,4pts HL,314,26.5,0,74,16 Mains/19 Crosses,Head Light,4,Modern
862,Wilson,Wilson Ultra 100L v2 - 2021,100,27,10.3,3pts HL,302,26.5,0,68,16 Mains/19 Crosses,Head Light,3,Modern
863,Wilson,Wilson Clash 100S - 2019,100,27,10.9,7pts HL,317,24.5,0,54,18 Mains/16 Crosses,Head Light,7,Modern
864,Wilson,Wilson Pro Staff Six.One 100 v13 - 2021,100,27,11.4,5pts HL,323,22.5,0,64,16 Mains/19 Crosses,Head Light,5,Modern
865,Wilson,Wilson Blade 98 16x19 v8 - 2021,98,27,11.3,5pts HL,317,21,0,61,16 Mains/19 Crosses,Head Light,5,Modern
866,Wilson,Wilson Blade 98 18x20 v8 - 2021,98,27,11.4,4pts HL,327,21,0,60,18 Mains/20 Crosses,Head Light,4,Modern
867,Wilson,Wilson Blade 100L v8 - 2021,100,27,10.6,1pts HL,314,22.5,0,69,16 Mains/19 Crosses,Head Light,1,Modern
868,Wilson,Wilson Blade 104 v8 - 2021,104,27.5,10.8,6pts HL,317,22.5,0,60,16 Mains/19 Crosses,Head Light,6,Modern
869,Wilson,Wilson Clash 100 v2 - 2022,100,27,11,7pts HL,313,24.5,0,57,16 Mains/19 Crosses,Head Light,7,Modern
870,Wilson,Wilson Clash 100L v2 - 2022,100,27,10.4,6pts HL,303,24.5,0,55,16 Mains/19 Crosses,Head Light,6,Modern
871,Wilson,Wilson Clash 100 Pro v2 - 2022,100,27,11.5,9pts HL,325,24.5,0,59,16 Mains/20 Crosses,Head Light,9,Modern
872,Wilson,Wilson Clash 98 v2 - 2022,98,27,11.5,8pts HL,327,24,0,60,16 Mains/20 Crosses,Head Light,8,Modern
873,Wilson,Wilson Clash 100UL v2 - 2022,100,27,9.9,1pts HL,300,24.5,0,63,16 Mains/19 Crosses,Head Light,1,Modern
874,Wilson,Wilson Clash 108 v2 - 2022,108,27.25,10.4,0pts EB,325,24.5,1,63,16 Mains/19 Crosses,Head Heavy,0,Modern
875,Wilson,Wilson Ultra 108 v4 - 2022,108,27.25,10,1pts HL,311,27.5,1,70,16 Mains/18 Crosses,Head Light,1,Modern
876,Wilson,Wilson Ultra 100 v4 - 2022,100,27,11.2,4pts HL,317,26.5,0,70,16 Mains/19 Crosses,Head Light,4,Modern
877,Wilson,Wilson Ultra 100UL v4 - 2022,100,27,9.7,1pts HL,286,26.5,0,68,16 Mains/19 Crosses,Head Light,1,Modern
879,Head,Head Graphene XT Speed S - 2015,100,27,10.7,1pts HL,317,22.5,0,68,16 Mains/19 Crosses,Head Light,1,Modern
880,Head,Head Graphene XT Instinct MP - 2014,100,27,11.1,5pts HL,319,25,0,66,16 Mains/19 Crosses,Head Light,5,Modern
881,Head,Head Graphene XT Instinct S - 2014,102,27,10,2pts HH,302,26,1,71,16 Mains/19 Crosses,Head Heavy,2,Modern
882,Head,Head Graphene XT Radical S - 2016,102,27,10.4,4pts HL,301,25,0,60,16 Mains/19 Crosses,Head Light,4,Modern
883,Head,Head Graphene XT Speed MP - 2015,100,27,11.1,4pts HL,320,22,0,67,16 Mains/19 Crosses,Head Light,4,Modern
884,Head,Head Graphene XT Radical MP - 2016,98,27,11,6pts HL,317,23,0,63,16 Mains/19 Crosses,Head Light,6,Modern
887,Head,Head Graphene 360+ Speed MP - 2020,100,27,11.2,4pts HL,328,23,0,64,16 Mains/19 Crosses,Head Light,4,Modern
888,Head,Head Graphene 360+ Speed Pro - 2020,100,27,11.6,6pts HL,329,23,0,62,18 Mains/20 Crosses,Head Light,6,Modern
889,Head,Head Pro Tour 2.0 - 2020,98,27,12.1,6pts HL,335,20,0,65,18 Mains/20 Crosses,Head Light,6,Modern
890,Head,Head Graphene 360+ Extreme Tour - 2020,98,27,11.4,6pts HL,318,23,0,65,16 Mains/19 Crosses,Head Light,6,Modern
891,Head,Head Graphene 360+ Extreme MP - 2020,100,27,11.2,3pts HL,325,26,0,66,16 Mains/19 Crosses,Head Light,3,Modern
892,Head,Head Graphene 360+ Radical Pro - 2021,98,27,11.7,6pts HL,330,21.5,0,65,16 Mains/19 Crosses,Head Light,6,Modern
893,Head,Head Graphene 360+ Radical MP - 2021,98,27,11.2,4pts HL,326,23,0,65,16 Mains/19 Crosses,Head Light,4,Modern
894,Head,Head Graphene 360+ Radical S - 2021,102,27,10.4,4pts HL,309,25,0,63,16 Mains/19 Crosses,Head Light,4,Modern
895,Head,Head Gravity Lite Graphene 360+ - 2019,104,27,10.1,0pts EB,298,24,1,60,16 Mains/20 Crosses,Head Heavy,0,Modern
896,Head,Head Gravity MP Graphene 360+ - 2019,100,27,11,3pts HL,323,22,0,62,16 Mains/20 Crosses,Head Light,3,Modern
897,Head,Head Gravity Pro Graphene 360+ - 2019,100,27,11.7,6pts HL,332,20,0,62,18 Mains/20 Crosses,Head Light,6,Modern
898,Head,Head Gravity S Graphene 360+ - 2019,104,27,10.6,3pts HL,307,24,0,61,16 Mains/20 Crosses,Head Light,3,Modern
899,Head,Head Gravity Tour Graphene 360+ - 2019,100,27,11.4,4pts HL,325,22,0,61,18 Mains/20 Crosses,Head Light,4,Modern
900,Head,Head Prestige Pro - 2021,98,27,11.9,6pts HL,325,20,0,60,18 Mains/20 Crosses,Head Light,6,Modern
901,Head,Head Prestige MP - 2021,99,27,11.5,3pts HL,334,21.5,0,66,18 Mains/19 Crosses,Head Light,3,Modern
902,Head,Head Prestige Tour - 2021,95,27,11.8,5pts HL,338,22,0,65,16 Mains/19 Crosses,Head Light,5,Modern
903,Head,Head Boom MP - 2022,100,27,11.1,5pts HL,318,24.5,0,64,16 Mains/19 Crosses,Head Light,5,Modern
904,Head,Head Boom Pro - 2022,98,27,11.6,6pts HL,325,22.5,0,66,16 Mains/19 Crosses,Head Light,6,Modern
905,Head,Head Instinct MP - 2022,100,27,11.2,4pts HL,313,26,0,64,16 Mains/19 Crosses,Head Light,4,Modern
906,Head,Head Instinct PWR 115 - 2022,115,27.7,8.7,9pts HH,314,29,2,70,16 Mains/19 Crosses,Head Heavy,9,Modern
907,Head,Head Instinct Team L - 2022,107,27.2,10,1pts HH,301,26,1,63,16 Mains/19 Crosses,Head Heavy,1,Modern
908,Head,Head Instinct PWR 110 - 2022,110,27.4,9.7,1pts HH,307,25,2,67,16 Mains/19 Crosses,Head Heavy,1,Modern
909,Head,Head Speed Pro - 2022,100,27,11.5,6pts HL,326,23,0,62,18 Mains/20 Crosses,Head Light,6,Modern
910,Head,Head Speed MP - 2022,100,27,11.1,4pts HL,323,23,0,62,16 Mains/19 Crosses,Head Light,4,Modern
911,Head,Head Speed Team - 2022,100,27,10.5,2pts HL,306,25,0,66,16 Mains/19 Crosses,Head Light,2,Modern
912,Head,Head Speed Team L - 2022,100,27,9.7,1pts HH,302,25,1,66,16 Mains/19 Crosses,Head Heavy,1,Modern
913,Head,Head Boom Team - 2022,102,27,10.2,1pts HL,316,25,0,66,16 Mains/19 Crosses,Head Light,1,Modern
914,Head,Head Boom Team L - 2022,107,27.4,9.7,0pts EB,306,26,1,66,16 Mains/19 Crosses,Head Heavy,0,Modern
915,Head,Head Graphene XT Instinct PWR - 2014,115,27.7,8.6,14pts HL,316,29,1,70,16 Mains/19 Crosses,Head Light,1,Modern
916,Prince,Prince Textreme Warrior 100 - 2016,100,27,11.14,6pts HL,320,25.5,0,66,16 Mains/18 Crosses,Head Light,6,Modern
917,Prince,Prince Twistpower X100 - 2020,100,27,10.8,4pts HL,314,24.5,0,66,16 Mains/18 Crosses,Head Light,4,Modern
918,Prince,Prince Phantom Pro 100 - 2017,100,27,11.4,6pts HL,320,19.5,0,54,16 Mains/18 Crosses,Head Light,6,Modern
919,Prince,Prince Classic Graphite 107 - 2017,107,27,12.2,6pts HL,336,19,0,65,16 Mains/19 Crosses,Head Light,6,Modern
920,Prince,Prince Textreme Tour 95 - 2019,95,27,11.9,8pts HL,325,22,0,64,16 Mains/19 Crosses,Head Light,8,Modern
921,Prince,Prince Textreme Tour 100 (290) - 2019,100,27,10.8,3pts HL,324,23,0,65,16 Mains/18 Crosses,Head Light,3,Modern
922,Prince,Prince ATS Textreme Tour 100 (290) - 2022,100,27,10.8,4pts HL,318,23,0,62,16 Mains/18 Crosses,Head Light,4,Modern
923,Prince,Prince Textreme Tour 100P - 2019,100,27,11.5,7pts HL,324,23,0,66,18 Mains/20 Crosses,Head Light,7,Modern
924,Prince,Prince Phantom Pro 100 (18x20) - 2019,100,27,11.9,9pts HL,326,19.5,0,55,18 Mains/20 Crosses,Head Light,9,Modern
925,Prince,Prince ATS Textreme Tour 98 - 2022,98,27,11.4,6pts HL,325,23,0,62,16 Mains/19 Crosses,Head Light,6,Modern
926,Prince,Prince Phantom O3 100X - 2020,100,27,11.5,7pts HL,325,19.5,0,60,16 Mains/18 Crosses,Head Light,7,Modern
927,Prince,Prince Phantom 97P - 2020,97,27,11.8,8pts HL,320,19.5,0,58,16 Mains/18 Crosses,Head Light,8,Modern
928,Prince,Prince Phantom 100X (305g) - 2020,100,27,11.4,6pts HL,321,20.5,0,58,16 Mains/18 Crosses,Head Light,6,Modern
929,Prince,Prince Phantom 100X (290g) - 2020,100,27,10.8,4pts HL,319,20.5,0,58,16 Mains/18 Crosses,Head Light,4,Modern
930,Prince,Prince Phantom 100X (18x20) - 2020,100,27,11.8,9pts HL,324,20.5,0,59,18 Mains/20 Crosses,Head Light,9,Modern
931,Prince,Prince Phantom 93P (18x20) - 2020,93,27,12.2,9pts HL,329,19.5,0,60,18 Mains/20 Crosses,Head Light,9,Modern
932,Prince,Prince Phantom 93P (14x18) - 2020,93,27,12.1,7pts HL,329,19.5,0,62,14 Mains/18 Crosses,Head Light,7,Modern
933,Prince,Prince O3 Legacy120 - 2020,120,27.25,9.7,5pts HH,328,29.5,2,72,16 Mains/19 Crosses,Head Heavy,5,Modern
934,Prince,Prince O3 Legacy110 - 2020,110,27.25,10.1,3pts HH,327,27,1,73,16 Mains/19 Crosses,Head Heavy,3,Modern
935,Prince,Prince O3 Legacy 105 - 2020,105,27.25,10.4,0pts EB,321,25,2,67,16 Mains/19 Crosses,Head Heavy,0,Modern
936,Prince,Prince Phantom 100G - 2020,100,27,11.5,7pts HL,318,18.5,0,59,16 Mains/18 Crosses,Head Light,7,Modern
937,Prince,Prince CTS Synergy DB26 - 2020,97,27,12.2,7pts HL,326,24,0,65,16 Mains/18 Crosses,Head Light,7,Modern
938,Prince,Prince Phantom 107G - 2020,107,27,11.4,7pts HL,319,20,0,63,16 Mains/19 Crosses,Head Light,7,Modern
939,Prince,Prince Phantom 100G LB - 2020,100,28,11.6,9pts HL,335,18.5,0,59,16 Mains/18 Crosses,Head Light,9,Modern
940,Prince,Prince Ripstick 300 - 2021,100,27,11.2,4pts HL,325,25.5,0,64,16 Mains/18 Crosses,Head Light,4,Modern
941,Prince,Prince Ripstick 280 - 2021,100,27,10.4,2pts HH,319,25.5,1,63,16 Mains/18 Crosses,Head Heavy,2,Modern
942,Prince,Prince Synergy 98 - 2021,98,27,11.4,4pts HL,334,23,0,60,18 Mains/18 Crosses,Head Light,4,Modern
943,Prince,Prince Warrior 100 (300) - 2021,100,27,11.2,6pts HL,311,26,0,65,16 Mains/19 Crosses,Head Light,6,Modern
944,Prince,Prince Warrior 107 - 2021,107,27,10.2,0pts EB,313,27,1,68,16 Mains/19 Crosses,Head Heavy,0,Modern
945,Prince,Prince Legacy120 - 2021,120,27.25,9.4,8pts HH,317,29,2,73,16 Mains/19 Crosses,Head Heavy,8,Modern
946,Prince,Prince Warrior 100 (285g) - 2021,100,27,10.6,3pts HL,313,26,0,65,16 Mains/19 Crosses,Head Light,3,Modern
947,Prince,Prince Vortex 300g - 2021,100,27,11.2,6pts HL,321,22,0,65,14 Mains/21 Crosses,Head Light,6,Modern
948,Prince,Prince Vortex 310g - 2021,100,27,11.5,9pts HL,320,22,0,63,14 Mains/21 Crosses,Head Light,9,Modern
949,Prince,Prince Twistpower X105 (290) - 2021,105,27,10.7,7pts HL,312,25,0,63,16 Mains/19 Crosses,Head Light,7,Modern
950,Prince,Prince Tour Diablo MP - 2022,100,27.25,11.5,8pts HL,317,19.5,0,60,16 Mains/18 Crosses,Head Light,8,Modern
951,Prince,Prince Twistpower X100 Tour - 2021,100,27,11.2,4pts HL,324,24.5,0,66,16 Mains/18 Crosses,Head Light,4,Modern
952,Prince,Prince ATS Textreme Tour 95 - 2022,95,27,11.9,8pts HL,324,22,0,61,16 Mains/19 Crosses,Head Light,8,Modern
953,Prince,Prince ATS Textreme Tour 100P - 2022,100,27,11.4,7pts HL,322,23,0,61,18 Mains/20 Crosses,Head Light,7,Modern
954,Prince,Prince ATS Textreme Tour 100 (310) - 2022,100,27,11.5,7pts HL,323,23,0,62,16 Mains/18 Crosses,Head Light,7,Modern
955,Prince,Prince Textreme Tour 100 (310) - 2019,100,27,11.5,7pts HL,322,23,0,65,16 Mains/18 Crosses,Head Light,7,Modern
956,Dunlop,Dunlop FX 500 - 2020,100,27,11.2,4pts HL,314,26,0,71,16 Mains/19 Crosses,Head Light,4,Modern
957,Dunlop,Dunlop FX 500 Tour - 2020,98,27,11.4,6pts HL,318,23,0,69,16 Mains/19 Crosses,Head Light,6,Modern
958,Dunlop,Dunlop FX 500 Lite - 2020,100,27,10,1pts HL,293,26,0,70,16 Mains/19 Crosses,Head Light,1,Modern
959,Dunlop,Dunlop FX 700 - 2020,107,27.5,9.8,0pts EB,321,27,1,68,16 Mains/19 Crosses,Head Heavy,0,Modern
960,Dunlop,Dunlop CX 200 - 2021,98,27,11.4,6pts HL,317,21.5,0,64,16 Mains/19 Crosses,Head Light,6,Modern
961,Dunlop,Dunlop CX 200 Tour 16x19 - 2021,95,27,11.5,7pts HL,318,20.5,0,63,16 Mains/19 Crosses,Head Light,7,Modern
962,Dunlop,Dunlop CX 400 Tour - 2021,100,27,11.2,4pts HL,322,23,0,66,16 Mains/19 Crosses,Head Light,4,Modern
963,Dunlop,Dunlop CX 200 Tour 18x20 - 2021,95,27,11.7,7pts HL,319,20.5,0,62,18 Mains/20 Crosses,Head Light,7,Modern
964,Dunlop,Dunlop CX 200 OS - 2021,105,27,11,3pts HL,313,21.5,0,61,16 Mains/19 Crosses,Head Light,3,Modern
965,Dunlop,Dunlop CX 400 - 2021,100,27,10.7,1pts HL,319,24.5,0,71,16 Mains/19 Crosses,Head Light,1,Modern
966,Dunlop,Dunlop Srixon LX 1000 - 2021,115,27.5,9.5,6pts HH,321,28,2,75,16 Mains/18 Crosses,Head Heavy,6,Modern
967,Dunlop,Dunlop Srixon LX 800 - 2021,110,27.5,9.6,5pts HH,312,27,2,76,16 Mains/18 Crosses,Head Heavy,5,Modern
968,Dunlop,Dunlop SX 300 Tour - 2022,98,27,11.4,6pts HL,324,26,0,66,16 Mains/19 Crosses,Head Light,6,Modern
969,Dunlop,Dunlop SX 300 - 2022,100,27,11.2,4pts HL,322,26,0,68,16 Mains/19 Crosses,Head Light,4,Modern
970,Dunlop,Dunlop SX 300 Lite - 2022,100,27,10,2pts HL,299,26,0,63,16 Mains/18 Crosses,Head Light,2,Modern
971,Dunlop,Dunlop SX 300 LS - 2022,100,27,10.6,3pts HL,314,26,0,67,16 Mains/19 Crosses,Head Light,3,Modern
972,Dunlop,Dunlop CX 200 Limited Edition - 2022,98,27,11.4,6pts HL,317,21.5,0,64,16 Mains/19 Crosses,Head Light,6,Modern
974,Yonex,Yonex VCORE PRO 100 (280) - 2019,100,27,10.4,0pts EB,316,21,1,65,16 Mains/19 Crosses,Head Heavy,0,Modern
975,Yonex,Yonex EZONE 108 - 2020,108,27.25,9.6,1pts HL,305,29,1,68,16 Mains/18 Crosses,Head Light,1,Modern
976,Yonex,Yonex EZONE Feel - 2020,102,27,9.4,4pts HH,298,27,1,68,16 Mains/18 Crosses,Head Heavy,4,Modern
977,Yonex,Yonex EZONE 98L -2020,98,27,10.6,1pts HL,312,24,0,64,16 Mains/19 Crosses,Head Light,1,Modern
978,Yonex,Yonex EZONE 98 - 2020,98,27,11.3,6pts HL,317,24,0,64,16 Mains/19 Crosses,Head Light,6,Modern
979,Yonex,Yonex EZONE 100 - 2020,100,27,11.2,4pts HL,322,26,0,69,16 Mains/19 Crosses,Head Light,4,Modern
980,Yonex,Yonex EZONE 98+ - 2020,98,27.5,11.4,5pts HL,334,24,0,64,16 Mains/19 Crosses,Head Light,5,Modern
981,Yonex,Yonex EZONE 100+ - 2020,100,27.5,11.1,3pts HL,335,26,0,70,16 Mains/19 Crosses,Head Light,3,Modern
982,Yonex,Yonex Astrel 100 - 2020,100,27,10.4,4pts HL,297,27.5,0,68,16 Mains/18 Crosses,Head Light,4,Modern
983,Yonex,Yonex Astrel 105 - 2020,105,27,9.8,1pts HL,298,28.5,1,68,16 Mains/18 Crosses,Head Light,1,Modern
984,Yonex,Yonex Astrel 115 - 2020,115,26.75,9.7,2pts HH,292,28.5,2,68,16 Mains/17 Crosses,Head Heavy,2,Modern
985,Yonex,Yonex EZONE Tour - 2020,98,27,11.7,4pts HL,330,24,0,62,16 Mains/19 Crosses,Head Light,4,Modern
986,Yonex,Yonex VCORE 98L - 2021,98,27,10.6,4pts HL,307,23,0,65,16 Mains/19 Crosses,Head Light,4,Modern
987,Yonex,Yonex VCORE 100L - 2021,100,27,10.5,2pts HL,306,25,0,66,16 Mains/19 Crosses,Head Light,2,Modern
988,Yonex,Yonex VCORE 95 - 2021,95,27,11.5,7pts HL,316,22,0,64,16 Mains/20 Crosses,Head Light,7,Modern
989,Yonex,Yonex VCORE 98 - 2021,98,27,11.4,6pts HL,321,23,0,66,16 Mains/19 Crosses,Head Light,6,Modern
990,Yonex,Yonex VCORE 100 - 2021,100,27,11.3,4pts HL,324,25,0,66,16 Mains/19 Crosses,Head Light,4,Modern
991,Yonex,Yonex VCORE Feel - 2020,100,27,9.3,3pts HH,290,26,1,64,16 Mains/18 Crosses,Head Heavy,3,Modern
992,Yonex,Yonex VCORE 98+ - 2021,98,27.5,11.4,5pts HL,334,23,0,66,16 Mains/19 Crosses,Head Light,5,Modern
993,Yonex,Yonex VCORE 100+ - 2021,100,27.5,11.2,3pts HL,333,25,0,66,16 Mains/19 Crosses,Head Light,3,Modern
994,Yonex,Yonex VCORE PRO 97D - 2021,97,27,12,7pts HL,330,21,0,61,18 Mains/20 Crosses,Head Light,7,Modern
995,Yonex,Yonex VCORE PRO 97 - 2021,97,27,11.5,7pts HL,318,21,0,60,16 Mains/19 Crosses,Head Light,7,Modern
996,Yonex,Yonex VCORE PRO 97H - 2021,97,27,12.3,7pts HL,337,21,0,61,16 Mains/19 Crosses,Head Light,7,Modern
997,Yonex,Yonex VCORE PRO 100 - 2021,100,27,11.2,4pts HL,321,23,0,63,16 Mains/19 Crosses,Head Light,4,Modern
998,Yonex,Yonex EZONE 98 - 2022,98,27,11.4,6pts HL,318,24.5,0,65,16 Mains/19 Crosses,Head Light,6,Modern
999,Yonex,Yonex EZONE 100 - 2022,100,27,11.2,4pts HL,317,26.5,0,67,16 Mains/19 Crosses,Head Light,4,Modern
1000,Yonex,Yonex EZONE 100SL - 2022,100,27,10,1pts HL,303,26.5,0,68,16 Mains/18 Crosses,Head Light,1,Modern
1001,Yonex,Yonex EZONE Feel - 2022,102,27,9.3,4pts HH,301,27,1,69,16 Mains/18 Crosses,Head Heavy,4,Modern
1002,Yonex,Yonex EZONE Ace - 2022,102,27,9.7,3pts HH,309,26.5,1,66,16 Mains/19 Crosses,Head Heavy,3,Modern
1003,Yonex,Yonex EZONE Game - 2022,98,27,10,1pts HL,299,25,0,69,16 Mains/19 Crosses,Head Light,1,Modern
1004,Yonex,Yonex EZONE 98L - 2022,98,27,10.6,1pts HL,310,24.5,0,65,16 Mains/19 Crosses,Head Light,1,Modern
1005,Yonex,Yonex EZONE 100L - 2022,100,27,10.5,3pts HL,308,26.5,0,69,16 Mains/19 Crosses,Head Light,3,Modern
1006,Yonex,Yonex EZONE 105 - 2022,105,27,10.2,1pts HL,303,26.5,1,67,16 Mains/19 Crosses,Head Light,1,Modern
1007,Yonex,Yonex EZONE 110 - 2022,110,27.25,9.6,1pts HL,302,29,1,66,16 Mains/18 Crosses,Head Light,1,Modern
1008,Yonex,Yonex Osaka EZONE 100 - 2022,100,27,11.2,4pts HL,317,26.5,0,67,16 Mains/19 Crosses,Head Light,4,Modern
1009,Yonex,Yonex Osaka EZONE 100L - 2022,100,27,10.5,3pts HL,308,26.5,0,69,16 Mains/19 Crosses,Head Light,3,Modern
1010,Tecnifibre,Tecnifibre TFight 295 RS - 2020,100,27,11,3pts HL,318,23.5,0,70,16 Mains/19 Crosses,Head Light,3,Modern
1011,Tecnifibre,Tecnifibre TFight 300 RS - 2020,98,27,11.2,4pts HL,319,23,0,66,16 Mains/19 Crosses,Head Light,4,Modern
1012,Tecnifibre,Tecnifibre TFight 305 RS - 2020,98,27,11.4,3pts HL,333,23,0,67,18 Mains/19 Crosses,Head Light,3,Modern
1013,Tecnifibre,Tecnifibre TFight 315 RS - 2020,98,27,11.7,7pts HL,321,23,0,69,16 Mains/19 Crosses,Head Light,7,Modern
1014,Tecnifibre,Tecnifibre TF-X1 300 - 2021,100,27,11.1,4pts HL,323,24,0,71,16 Mains/19 Crosses,Head Light,4,Modern
1015,Tecnifibre,Tecnifibre TF-X1 285 - 2021,100,27,10.5,2pts HL,316,24,0,71,16 Mains/19 Crosses,Head Light,2,Modern
1016,Tecnifibre,Tecnifibre TF-X1 275 - 2021,105,27,10.2,1pts HL,310,25.5,0,69,16 Mains/19 Crosses,Head Light,1,Modern
1017,Tecnifibre,Tecnifibre TF40 315 (16x19) - 2022,98,27,11.7,8pts HL,313,22,0,64,16 Mains/19 Crosses,Head Light,8,Modern
1018,Tecnifibre,Tecnifibre TF40 305 (18x20) - 2022,98,27,11.4,3pts HL,328,22,0,64,18 Mains/20 Crosses,Head Light,3,Modern
1019,Tecnifibre,Tecnifibre TF40 305 16x19 - 2022,98,27,11.3,3pts HL,321,22,0,64,16 Mains/19 Crosses,Head Light,3,Modern
1020,Tecnifibre,Tecnifibre Tempo 298 IGA -2022,98,27,11,4pts HL,319,23,0,71,16 Mains/19 Crosses,Head Light,4,Modern
1021,Volkl,Volkl V1 Classic - 2018,102,27,10.8,1pts HL,318,25,0,69,16 Mains/19 Crosses,Head Light,1,Modern
1022,Volkl,Volkl V-Feel V8 Pro - 2019,100,27,11.2,6pts HL,316,24,0,67,18 Mains/20 Crosses,Head Light,6,Modern
1023,Volkl,Volkl V-Cell 4 - 2020,105,27.6,10.2,5pts HL,304,25,1,68,16 Mains/19 Crosses,Head Light,5,Modern
1024,Volkl,Volkl V-Cell 6 - 2020,100,27,10.2,2pts HL,303,26,0,69,16 Mains/19 Crosses,Head Light,2,Modern
1025,Volkl,Volkl V-Cell 8 285g - 2020,100,27,10.5,4pts HL,303,24,0,70,16 Mains/18 Crosses,Head Light,4,Modern
1026,Volkl,Volkl V-Cell 8 300g - 2020,100,27,11,5pts HL,312,24,0,67,16 Mains/18 Crosses,Head Light,5,Modern
1027,Volkl,Volkl V-Cell 8 315g - 2020,100,27,11.5,7pts HL,315,24,0,67,16 Mains/18 Crosses,Head Light,7,Modern
1028,Volkl,Volkl V-Cell 9 - 2020,100,27,11.5,6pts HL,317,26,0,68,16 Mains/19 Crosses,Head Light,6,Modern
1029,Volkl,Volkl V-Cell 10 300g - 2021,98,27,11.1,3pts HL,311,22.5,0,68,16 Mains/19 Crosses,Head Light,3,Modern
1030,Volkl,Volkl V-Cell 10 320g - 2021,98,27,11.8,7pts HL,319,22.5,0,67,16 Mains/19 Crosses,Head Light,7,Modern
1031,Volkl,Volkl V-Cell 2 - 2021,115,27.6,10,2pts HH,322,27,2,71,16 Mains/19 Crosses,Head Heavy,2,Modern
1032,Volkl,Volkl V-Cell 1 - 2021,115,27.8,9.6,4pts HH,312,27.5,2,70,16 Mains/17 Crosses,Head Heavy,4,Modern
1033,Volkl,Volkl V-Cell 3 - 2021,110,27.8,10,2pts HL,313,27,1,69,16 Mains/19 Crosses,Head Light,2,Modern
1034,Volkl, Volkl V-Cell 5 - 2021,100,27,9.8,1pts HL,287,24.5,0,69,16 Mains/18 Crosses,Head Light,1,Modern
1035,Volkl,Volkl V-Cell V1 OS - 2021,110,27.6,10.5,5pts HL,310,23,1,68,16 Mains/19 Crosses,Head Light,5,Modern
1036,Volkl,Volkl V-Cell V1 MP - 2021,102,27,10.6,4pts HL,302,22,0,68,16 Mains/19 Crosses,Head Light,4,Modern
1037,Volkl,Volkl V-Cell V1 Pro - 2021,99,27,11.1,4pts HL,316,20,0,68,16 Mains/19 Crosses,Head Light,4,Modern
