,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance,new_old
152,Wilson,Wilson  W2 Spicy Ruby,117,27.5,9.5,6pts HH,318,27,2,65,16 Mains/18 Crosses,Head Heavy,6,Classic
153,Wilson,Wilson KSix-One 95 X,95,27.5,12.3,7pts HL,360,22,0,68,16 Mains/18 Crosses,Head Light,7,Classic
154,Wilson,Wilson nPro ,98,27,11,4pts HL,308,23,0,68,18 Mains/18 Crosses,Head Light,4,Classic
155,Wilson,Wilson H Cyclone,115,27.9,9.2,12pts HH,343,29,2,74,16 Mains/19 Crosses,Head Heavy,1,Classic
156,Wilson,Wilson KPro Tour,96,27,11.4,8pts HL,300,24,0,62,16 Mains/20 Crosses,Head Light,8,Classic
157,Wilson,Wilson H Rival Oversize,112,27.5,9,8pts HH,318,28,2,67,16 Mains/20 Crosses,Head Heavy,8,Classic
158,Wilson,Wilson Pro Staff Trance Midplus,95,27,9.9,2pts HH,301,24,1,69,16 Mains/19 Crosses,Head Heavy,2,Classic
159,Wilson,Wilson nPro Open nCode,100,27,11.1,6pts HL,302,26,0,68,16 Mains/19 Crosses,Head Light,6,Classic
160,Wilson,Wilson KSix-One Tour 90,90,27,12.5,9pts HL,336,18,0,67,16 Mains/19 Crosses,Head Light,9,Classic
163,Wilson,Wilson Prostaff 6.0 Original 95,95,27,12.2,10pts HL,317,20,0,67,16 Mains/18 Crosses,Head Light,1,Classic
164,Wilson,Wilson nFury Oversize,110,27.5,9.6,0pts EB,303,26,1,67,16 Mains/19 Crosses,Head Heavy,0,Classic
165,Wilson,Wilson KOne,122,27.5,9.3,12pts HH,328,27,2,72,16 Mains/19 Crosses,Head Heavy,1,Classic
166,Wilson,Wilson Prostaff 6.0 Original 85,85,27,12.6,8pts HL,329,17,0,66,16 Mains/18 Crosses,Head Light,8,Classic
167,Wilson,Wilson nFury Two Oversize,110,27.5,9.6,0pts EB,295,26,1,66,16 Mains/19 Crosses,Head Heavy,0,Classic
169,Wilson,Wilson Pro Staff Trance Oversize,110,27,9.8,1pts HH,297,30,1,72,16 Mains/20 Crosses,Head Heavy,1,Classic
170,Wilson,Wilson Hyper Hammer 5.3 Stretch Oversize,110,27.5,9,8pts HH,301,25,1,70,16 Mains/20 Crosses,Head Heavy,8,Classic
179,Wilson,Wilson 3.2 Hammer PH Super Oversize,118,27,8.6,8pts HH,283,30,2,66,18 Mains/19 Crosses,Head Heavy,8,Classic
181,Wilson,Wilson 3.8 Power Holes Oversize,112,28,9,12pts HH,356,30,2,76,18 Mains/19 Crosses,Head Heavy,1,Classic
185,Wilson,Wilson 4.7 Prostaff Stretch EB Midplus,100,28,10.8,5pts HL,343,23,1,74,16 Mains/20 Crosses,Head Light,5,Classic
192,Wilson,Wilson 5.8 Hammer Midplus,95,27,10.4,4pts HH,327,21,1,67,16 Mains/18 Crosses,Head Heavy,4,Classic
